date,name,label,time,floor,closing,year
01.01.2010,Massimiliano Pagliara ,,01:00,Lab,FALSE,2010
01.01.2010,Discodromo ,,04:00,Lab,FALSE,2010
01.01.2010,Prosumer ,,07:00,Lab,FALSE,2010
01.01.2010,Boris ,,10:00,Lab,FALSE,2010
01.01.2010,nd_baumecker & Steffi ,,13:00,Lab,TRUE,2010
01.01.2010,Prosumer,ostgut ton,01:00,Panorama Bar,FALSE,2010
01.01.2010,Margaret Dygas,perlon,04:00,Panorama Bar,FALSE,2010
01.01.2010,Steffi,ostgut ton,07:00,Panorama Bar,FALSE,2010
01.01.2010,Nick H�ppner,ostgut ton,10:00,Panorama Bar,FALSE,2010
01.01.2010,Cassy,cocoon,13:00,Panorama Bar,FALSE,2010
01.01.2010,Dinky,wagon repair,16:00,Panorama Bar,FALSE,2010
01.01.2010,L.B. Dub Corp,mote evolver,19:00,Panorama Bar,FALSE,2010
01.01.2010,Shinedoe & 2000 And One,intacto   100% pure,22:00,Panorama Bar,TRUE,2010
01.01.2010,Marcel Fengler,ostgut ton,01:00,Berghain,FALSE,2010
01.01.2010,Norman Nodge,ostgut ton,04:00,Berghain,FALSE,2010
01.01.2010,Marcel Dettmann,ostgut ton,07:00,Berghain,FALSE,2010
01.01.2010,Ben Klock,ostgut ton,10:00,Berghain,FALSE,2010
01.01.2010,Fiedel,mmm,13:00,Berghain,FALSE,2010
01.01.2010,Boris,careless,16:00,Berghain,FALSE,2010
01.01.2010,Len Faki,ostgut ton/ figure,19:00,Berghain,FALSE,2010
01.01.2010,Adam Beyer,drumcode,22:00,Berghain,TRUE,2010
02.01.2010,Daniel Wang,balihu,00:00,Lab,FALSE,2010
02.01.2010,I-F,intergalactic fm,04:00,Lab,FALSE,2010
02.01.2010,Jeffrey SFire,ghostly,08:00,Lab,TRUE,2010
02.01.2010,Don Williams,mojuba,00:00,Berghain,FALSE,2010
02.01.2010,Snuff Crew gigolo,snuff crew gigolo,05:00,Berghain,FALSE,2010
02.01.2010,Neville Watson,our house is your rush,06:00,Berghain,FALSE,2010
02.01.2010,Phonique,pokerflat,10:00,Berghain,FALSE,2010
02.01.2010,+ alle die noch von Silvester stehen k�nnen ,,15:00,Berghain,TRUE,2010
09.01.2010,Fiedel,mmm,00:00,Berghain,FALSE,2010
09.01.2010,R�dh�d,dystopian,04:30,Berghain,FALSE,2010
09.01.2010,Oliver Deutschmann,vidab,08:00,Berghain,FALSE,2010
09.01.2010,Norman Nodge,ostgut ton,12:00,Berghain,TRUE,2010
